日付,国内株式,先進国株式,全世界株式,米国株式,バランス
2018-06-26,9595.0010007278,11306,10159.8392428686,9875.9452221546,10468
2018-06-27,9576.47261644833,11348,10190.3778547943,9925.09261513492,10469
2018-06-28,9575.70060043668,11291,10127.7142095441,9854.49908703591,10420
2018-06-29,9590.75491266376,11375,10196.3269350395,9959.94258470278,10464
2018-07-02,9378.0645014556,11469,10298.6511152582,9997.47332116048,10505
2018-07-03,9366.87026928675,11461,10282.7869012708,10034.1104686549,10482
2018-07-04,9337.91966885007,11402,10228.451968364,9936.70927165754,10470
2018-07-05,9264.57814774381,11404,10227.6587576646,9942.07080543721,10460
2018-07-06,9368.80030931587,11525,10325.223673687,10056.4501927369,10521
2018-07-09,9481.90065502184,11599,10389.8703456856,10116.3206532765,10571
2018-07-10,9543.66193595342,11754,10536.6143250689,10263.7628322175,10626
2018-07-11,9429.40356622998,11767,10544.9430374122,10287.889734226,10612
2018-07-12,9539.8018558952,11781,10553.2717497556,10328.1012375735,10640
2018-07-13,9715.43549854439,11943,10698.8259130898,10471.0754716981,10723
2018-07-17,9758.66839519651,11915,10672.6499600107,10445.161391763,10724
2018-07-18,9800.35725982533,11994,10740.8660801564,10539.8818218706,10750
2018-07-19,9787.61899563319,12004,10745.2287390029,10539.8818218706,10732
2018-07-20,9758.66839519651,11947,10687.7209632987,10484.4793061473,10709
2018-07-23,9628.58369723435,11792,10560.0140407003,10320.058936904,10609
2018-07-24,9677.6067139738,11812,10575.8782546876,10369.2063298844,10609
2018-07-25,9721.61162663755,11882,10646.0774015818,10421.0344897545,10645
2018-07-26,9709.64537845706,11898,10664.717853017,10462.1395820653,10660
2018-07-27,9764.45851528384,11913,10677.0126188572,10467.501115845,10674
2018-07-30,9691.88901018923,11877,10652.4230871768,10397.8011767093,10652
2018-07-31,9695.36308224163,11822,10606.0202612637,10329.8884155001,10659
2018-08-01,9778.74081149927,11960,10720.2426019728,10460.3524041388,10721
2018-08-02,9677.99272197962,11914,10683.3583044521,10437.1190910935,10701
2018-08-03,9683.01082605531,11915,10660.7517995201,10495.2023737066,10655
